CẨM NANG KIẾN TRÚC CƠ SỞ DỮ LIỆU & THUẬT TOÁN TÌM ĐƯỜNG CLOUD WEB APP (HCMC TRANSIT ENGINE),,,,,,
"Tài liệu đặc tả kỹ thuật kiến trúc hệ thống đa tầng, lược đồ CSDL SQL/PostGIS, chỉ mục tìm kiếm GIN, thuật toán tìm đường RAPTOR/A* và đặc tả RESTful API.",,,,,,
Module / Phân hệ,Tầng kiến trúc,Công nghệ / Engine,Chức năng & Nhiệm vụ chính,Thông lượng / SLA latency,Khả năng mở rộng (Scale),Nguyên lý thiết kế chủ đạo
Frontend Client,Client Layer,Next.js 14 / React / TailwindCSS / MapLibre GL,"Giao diện người dùng Web/Mobile tra cứu trực quan bản đồ số, input A-B autocomplete, hiển thị lộ trình chi tiết.","FCP < 1.0s, TTFB < 200ms",Vercel Edge Network / Cloudflare CDN,SSR + Client-side Map Vector Rendering
API Gateway & Auth,Gateway Layer,FastAPI / Envoy / Traefik / Kong,"Định tuyến vi dịch vụ, Rate limiting (100 req/min/IP), xác thực JWT, nén phản hồi Brotli/Gzip.",< 15ms routing overhead,Horizontal Pod Autoscaler (K8s),"Stateless API Gateway, Zero-trust"
Search & Autocomplete,Microservice,Node.js + PostgreSQL pg_trgm + Meilisearch,"Nhận chuỗi ký tự tự do người dùng gõ, đối soát Trigram index điểm mốc & trạm xe bus, trả về top 10 gợi ý.",< 35ms response time,Read Replicas + In-memory prefix tree,"Fuzzy matching, bỏ dấu tiếng Việt, scoring trọng số"
Routing Core Engine,Compute Engine,Rust Routing Service (RAPTOR & A*),"Thực thi thuật toán tìm đường đa tiêu chí (ít chuyển tuyến nhất, nhanh nhất, rẻ nhất, đi bộ ít nhất).",< 80ms cho lộ trình 2 lần chuyển,Multi-threaded in-memory transit graph,Round-based Public Transit Routing (RAPTOR)
Spatial & Master DB,Storage Layer,PostgreSQL 16 + PostGIS Spatial Extension,"Lưu trữ toàn bộ Master routes, stops, coordinates (WGS84 EPSG:4326), spatial index GiST R-Tree.",< 10ms cho spatial KNN query,AWS Aurora PostgreSQL Multi-AZ,"ACID Compliance, GeoJSON serialization"
Cache & Live Transit,Cache Layer,Redis Cluster 7.2 (Memory Cache),"Lưu cache kết quả tìm đường phổ biến (TTL 30p), vị trí xe bus thời gian thực (GPS live stream).",< 3ms read latency,Redis Sharding + Read replicas,"Cache-Aside pattern, GeoSet spatial indexing"
PHẦN 1: BẢN VẼ LƯỢC ĐỒ CSDL QUAN HỆ & KHÔNG GIAN CHUẨN SQL DDL (POSTGRESQL + POSTGIS),,,,,,
Tên bảng CSDL,Khóa chính & Khóa ngoại,Thuộc tính dữ liệu cốt lõi,Chiến lược chỉ mục không gian & tối ưu,Chỉ mục tìm kiếm văn bản (Full-Text),Quy tắc toàn vẹn dữ liệu,Mô tả mục đích trong Web App
routes,"route_id (PK, VARCHAR(10))","route_name, operator_name, operator_phone, operation_type, is_subsidized, distance_km, headway_min, fare_regular_vnd","B-Tree index trên is_subsidized, operation_type",GIN index trên lower(route_name),"distance_km > 0, fare_regular_vnd >= 0","Lưu trữ danh mục tuyến chính, đơn vị vận hành và thông số vận tải"
